name,category,formula(repeating unit),crystal system,color,crystal habit,fracture,mohs scale hardness,luster,specific gravity,polish luster,optical properties,refractive index,birefringence,pleochroism,ultraviolet fluorescence,absorption spectra,ima symbol,crystal class,space group,unit cell,formula mass,cleavage,tenacity,streak,diaphaneity,2v angle,fusibility,strunz classification,twinning,dana classification,density,dispersion,solubility,satin spar,selenite,alabaster,other characteristics,lustre,melting point,common impurities,hessonite,tsavorite,leuco-garnet,rosolite,alexandrite,cymophane,diagnostic features,alters to,demantoid,melanite,topazolite,achroite,indicolite,rubellite,verdelite,type,subgroups,composition,total known specimens,jmol (3d),pronunciation,appearance,"",atomic number (z),group,period,block,electron configuration,electrons per shell,phase atstp,boiling point,density (nearr.t.),whenliquid (atm.p.),critical point,heat of fusion,heat of vaporization,molar heat capacity,oxidation states,electronegativity,ionization energies,atomic radius,covalent radius,van der waals radius,natural occurrence,crystal structure,speed of sound thinrod,thermal expansion,thermal conductivity,electrical resistivity,magnetic ordering,molar magnetic susceptibility,young's modulus,shear modulus,bulk modulus,poisson ratio,mohs hardness,vickers hardness,brinell hardness,cas number,discovery,first isolation,titanclinohumite,classification,primary,secondary,fluorcanasite,frankamenite,mesh,ta98,ta2,th,fma,hackmanite,extinction,pyrope,almandine,spessartine,andradite,grossular,uvarovite,nickeloan rosasite,length fast/slow,magnetism,use/purpose,similar occurrences,alternative name,allotropes,recognized as an element by,mineral association,sapphire,ruby,emery,troostite,chinese,hanyu pinyin,ipa,yale romanization,jyutping,hokkien poj,teochew peng'im,vietnamese alphabet,hangul,hanja,revised romanization,kanji,romanization,traditionalchinese,simplified chinese,literal meaning,wade–giles,relief,optical sign,color in ppl,fabric,protoliths,tanzanite,thulite,manganophyllite
unakite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nephrite,inosilicate,"ca2(mg,fe)5si8o22(oh)2[1]",monoclinic[1],"translucent to opaque and often mottled. light to dark green, yellow to brown, white, gray, black.[1]",massive[1],splintery to granular[1],6.0 to 6.5[1],dull[1],2.95+0.15−0.05[1],vitreous to greasy[1],double refractive with anomalous aggregate reaction[1],1.606 to 1.632+0.009−0.006[1],usually not detectable[1],none[1],inert[1],"vague line may be present at 500nm, but rarely any lines. rarely, in stones of exceptional gem quality, vague lines in the red part of the spectrum may be seen.[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrophyllite,silicate minerals,al2si4o10(oh)2,monoclinic[2] or triclinic[3],"brown green, brownish yellow, greenish, gray green, gray white","compact spherulitic aggregates of needlelike radiating crystals; as
fine grained foliated laminae, granular, massive",,1.5-2,pearly to dull,2.65 - 2.9,,biaxial (-),"nα=1.534-1.556, nβ=1.586-1.589, nγ=1.596-1.601",δ =0.0450-0.0620,,,,prl[1],prismatic (2/m) or pinacoidal (1),c2/c or c1,"a = 5.16å, b = 8.966(3)å, c = 9.347(6)å; α = 91.18°, β = 100.46°, γ = 89.64°; z=2",360.31 g/mol,[001] perfect,flexible inelastic,white,translucent to opaque,53-62,"infusible, exfoliates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leucite,tectosilicates,kalsi2o6,tetragonal,white to grey,"commonly as euhedral, pseudocubic crystals; rarely granular, massive",conchoidal,5.5 - 6,vitreous,2.45-2.50,,uniaxial (+),nω = 1.508 nε = 1.509,δ = 0.001,,,,lct[1],dipyramidal (4/m) (same h-m symbol),i41/a,"a = 13.056, c = 13.751[å]; z=16",,poor on {110},brittle,white,transparent to translucent,,,9.gb.05,common and repeated on {110} and {101},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volcanic ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petrified wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parisite,carbonate,"ca(ce,la)2(co3)3f2",monoclinic,"brown, brownish yellow, gray-yellow, grayish yellow, yellow, waxy yellow, colourless to yellow in transmitted light",acicular,,4+1⁄2,vitreous - greasy,4.34,,,,,,,,pst[1],domatic (m) (same h-m symbol),cc,"a = 12.305å, b = 7.1056å, c = 28.2478å; β = 98.246°; z=12",537.24 g/mol,,,white,transparent to translucent,,,5.bd.20b,,16a.01.05.01,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandidierite,nesosilicate,"(mg,fe2+)al3(bo3)(sio4)o2",orthorhombic,cyan to turquoise; bluish green,tabular,brittle,7.5,"vitreous, glassy",,,biaxial (-),1.583 - 1.639,,visible,,,gdd[1],dipyramidal h-m symbol: (2/m 2/m 2/m),pbnm,,,good,,white,transparent to translucent,"measured: 24° to 32°, calculated: 32°",,9.aj.05,none,54.01.01.01,2.976,strong r < v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perthite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gypsum,sulfate minerals,caso4·2h2o,monoclinic,"colorless (in transmitted light) to white; often tinged other hues due to impurities; may be yellow, tan, blue, pink, dark brown, reddish brown or gray","massive, flat. elongated and generally prismatic crystals","conchoidal on {100}, splintery parallel to [001]",1.5–2 (defining mineral for 2),"vitreous to silky, pearly, or waxy",2.31–2.33,,biaxial (+),nα = 1.519–1.521 nβ = 1.522–1.523 nγ = 1.529–1.530,δ = 0.010,none,,,gp[1],prismatic (2/m) h-m symbol: (2/m),monoclinic space group: i2/a,"a = 5.679(5), b = 15.202(14) c = 6.522(6)å; β = 118.43°; z=4",,"perfect on {010}, distinct on {100}","flexible, inelastic",white,transparent to translucent,58°,5,7.cd.40,very common on {110},,,,"hot, dilute hcl","pearly, fibrous masses",transparent and bladed crystals,"fine-grained, slightly colored",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gadolinite,nesosilicate,"(ce,la,nd,y)2febe2si2o10",monoclinic,,,,,,,,,,,,,,gad[1],prismatic (2/m) (same h-m symbol),p21/n,,,,,,,,,9.aj.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serpentinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antigorite,phyllosilicateserpentine-kaolinite group,"(mg, fe)3si2o5oh4",monoclinic,"green, yellowish-green, blueish-gray",massive or platy,brittle,3.5-4,vitreous - greasy,2.5-2.6,,biaxial (-),,δ = 0.005-0.006,,,,atg[1],,,,,(001) perfect,,greenish white,,,,9.ed.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humite,nesosilicates,"(mg,fe)7(sio4)3(f,oh)2.",orthorhombic,"white, yellow, dark orange, brown",,uneven to subconchoidal,6–6.5,vitreous,3.20 – 3.32,,biaxial (+),"nα =1.607-1.643, nβ=1.619-1.653, nγ=1.639-1.675",0.0320,,,,hu[1],dipyramidal (mmm) h–m symbol: (2/m 2/m 2/m),pbnm,"a = 10.24, b = 20.72 c = 4.73[å]; z=4",,poor,brittle,white,transparent,"calculated = 70-78°, measured = 68-81°",,9.af.50,,,,"weak, r > v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesolite,tectosilicate zeolite,na2ca2(al2si3o10)3·8h2o,orthorhombic,"colorless, white, gray, yellowish brown","as elongated prismatic crystals, commonly in hairlike tufts and aggregates of fibers; radiating compact masses; stalactitic; porcelaneous",uneven,5,"vitreous, silky when fibrous",2.26,,biaxial (+),nα = 1.505 nβ = 1.505 nγ = 1.505,δ = 0.001,,,,mes[1],pyramidal (mm2) (same h-m symbol),fdd2,"a = 18.4049(8)å, b = 56.655(6)å, c=6.5443(4)å; z=8",,perfect on {110} and {110},"brittle, masses tough",white,"transparent to translucent, opaque",measured: 80°,,9.ga.05,characteristically twinned on {010} or {100},,,,,,,,may exhibit a small pyroelectric effect; piezoelectric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thulite,sorosilicate variety,"(ca,mn)2al3(sio4)(si2o7)o(oh)",orthorhombic,pink,massive,uneven to conchoidal,6.5,"vitreous, pearly on cleavage surfaces",3.10-3.38,,biaxial positive,1.69-1.70,0.006-0.018,"present, dichroism or trichroism depending on color.",,,,,,,,perfect {010} imperfect {100},,white or colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brookite,oxide minerals,tio2,orthorhombic,"deep red, reddish brown, yellowish brown, brown, or black","tabular and striated, pyramidal or pseudohexagonal",subconchoidal to irregular,5+1⁄2 to 6,submetallic,4.08 to 4.18,,biaxial (+),nα = 2.583 nβ = 2.584 nγ = 2.700,δ = 0.117,"very weak, yellowish, reddish, orange to brown",non-fluorescent,,,dipyramidal (mmm) h-m symbol: (2/m 2/m 2/m),pbca,"a = 5.4558å, b = 9.1819å, c = 5.1429å; z=8",79.88 g/mol[1],"poor on {120}, in traces on {001}",brittle,"white, greyish or yellowish",opaque to translucent,calculated: 12° to 20°,,4.dd.10 (10 ed) 4/d.15-10 (8 ed),"on {120}, uncertain",4.4.5.1,,0.131 (compare to diamond at 0.044),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inderite,mineral,mgb3o3(oh)5 · 5h2o,monoclinic,"colorless, white, pink; colorless in transmitted light",,uneven,2.5 - 3,"vitreous, greasy, pearly, dull",,,biaxial (+),nα = 1.488 nβ = 1.491 nγ = 1.505,0.017,none,none,,idr[1],prismatic (2/m),p21/b,"1,041.64 å³",279.85,"perfect on {010}, on {110} good",,,"transparent, translucent","measured 37°, calculated 52°",,6.ca.15,,26.3.1.3,1.8,"weak, r > v",soluble in hydrochloric acid,,,,pearly on cleavages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaspore,oxide mineral,α-alo(oh),orthorhombic,"white, pale gray, colorless, greenish gray, brown, pale yellow, pink, purple; may exhibit color change","platey, elongated to acicular crystals; also stalactitic, foliated, scaly, disseminated and massive",conchoidal,6.5–7.0,"adamantine, vitreous, pearly on cleavage faces",3.1–3.4,,biaxial (+),nα = 1.682–1.706  nβ = 1.705–1.725  nγ = 1.730–1.752,δ = 0.048,strong,,,dsp[1],dipyramidal (mmm) h–m symbol: (2/m 2/m 2/m),pbnm,a = 4.4007(6)å b = 9.4253(13)å c = 2.8452(3)å; z=4,,"{010} perfect, {110} distinct, {100} in traces",very brittle,,transparent to translucent,measured: 84° to 86°calculated: 80° to 84°,infusible,4.fd.10,forms heart shaped twins on {021} or pseudohexagonal aggregates,,,"r < v, weak",insoluble,,,,decrepitates releasing water in closed tube on heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apache tears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
