name,crystal system,color,crystal habit,mohs scale hardness,luster,tenacity,diaphaneity,solubility
unakite,,,,,,,,
nephrite,monoclinic[1],"translucent to opaque and often mottled. light to dark green, yellow to brown, white, gray, black.[1]",massive[1],6.0 to 6.5[1],dull[1],,,
pyrophyllite,monoclinic[2] or triclinic[3],"brown green, brownish yellow, greenish, gray green, gray white","compact spherulitic aggregates of needlelike radiating crystals; as
fine grained foliated laminae, granular, massive",1.5-2,pearly to dull,flexible inelastic,translucent to opaque,
leucite,tetragonal,white to grey,"commonly as euhedral, pseudocubic crystals; rarely granular, massive",5.5 - 6,vitreous,brittle,transparent to translucent,
volcanic ash,,,,,,,,
petrified wood,,,,,,,,
parisite,monoclinic,"brown, brownish yellow, gray-yellow, grayish yellow, yellow, waxy yellow, colourless to yellow in transmitted light",acicular,4+1⁄2,vitreous - greasy,,transparent to translucent,
grandidierite,orthorhombic,cyan to turquoise; bluish green,tabular,7.5,"vitreous, glassy",,transparent to translucent,
perthite,,,,,,,,
gypsum,monoclinic,"colorless (in transmitted light) to white; often tinged other hues due to impurities; may be yellow, tan, blue, pink, dark brown, reddish brown or gray","massive, flat. elongated and generally prismatic crystals",1.5–2 (defining mineral for 2),"vitreous to silky, pearly, or waxy","flexible, inelastic",transparent to translucent,"hot, dilute hcl"
gadolinite,monoclinic,,,,,,,
serpentinite,,,,,,,,
antigorite,monoclinic,"green, yellowish-green, blueish-gray",massive or platy,3.5-4,vitreous - greasy,,,
humite,orthorhombic,"white, yellow, dark orange, brown",,6–6.5,vitreous,brittle,transparent,
mesolite,orthorhombic,"colorless, white, gray, yellowish brown","as elongated prismatic crystals, commonly in hairlike tufts and aggregates of fibers; radiating compact masses; stalactitic; porcelaneous",5,"vitreous, silky when fibrous","brittle, masses tough","transparent to translucent, opaque",
thulite,orthorhombic,pink,massive,6.5,"vitreous, pearly on cleavage surfaces",,,
brookite,orthorhombic,"deep red, reddish brown, yellowish brown, brown, or black","tabular and striated, pyramidal or pseudohexagonal",5+1⁄2 to 6,submetallic,brittle,opaque to translucent,
inderite,monoclinic,"colorless, white, pink; colorless in transmitted light",,2.5 - 3,"vitreous, greasy, pearly, dull",,"transparent, translucent",soluble in hydrochloric acid
diaspore,orthorhombic,"white, pale gray, colorless, greenish gray, brown, pale yellow, pink, purple; may exhibit color change","platey, elongated to acicular crystals; also stalactitic, foliated, scaly, disseminated and massive",6.5–7.0,"adamantine, vitreous, pearly on cleavage faces",very brittle,transparent to translucent,insoluble
apache tears,,,,,,,,
